mem num,reason for leaving
129438,Moving from Area
129428,Moving from Area
129366,Moving from Area
129334,Moving from Area
129318,Moving from Area
129316,Moving from Area
129314,Moving from Area
129258,Moving from Area
129192,Moving from Area
129188,Moving from Area
129186,Moving from Area
129184,Moving from Area
129146,Moving from Area
129144,Moving from Area
129118,Moving from Area
129080,Moving from Area
129054,Moving from Area
129052,Moving from Area
129012,Moving from Area
128950,Moving from Area
128946,Moving from Area
128914,Moving from Area
128890,Moving from Area
128846,Moving from Area
128838,Moving from Area
128832,Moving from Area
128828,Moving from Area
128820,Moving from Area
128812,Moving from Area
128810,Moving from Area
128800,Moving from Area
128782,Moving from Area
128780,Moving from Area
128750,Moving from Area
128732,Moving from Area
128712,Moving from Area
128684,Moving from Area
128646,Moving from Area
128644,Moving from Area
128642,Moving from Area
128632,Moving from Area
128624,Moving from Area
128592,Moving from Area
128562,Moving from Area
128488,Moving from Area
128486,Moving from Area
128470,Moving from Area
128446,Moving from Area
128442,Moving from Area
128428,Moving from Area
128426,Moving from Area
128392,Moving from Area
128376,Moving from Area
128372,Moving from Area
128342,Moving from Area
128336,Moving from Area
128330,Moving from Area
128322,Moving from Area
128302,Moving from Area
128286,Moving from Area
128272,Moving from Area
128252,Moving from Area
128246,Moving from Area
128244,Moving from Area
128240,Moving from Area
128210,Moving from Area
128204,Moving from Area
128198,Moving from Area
128192,Moving from Area
128184,Moving from Area
128142,Moving from Area
128130,Moving from Area
128104,Moving from Area
128100,Moving from Area
128098,Moving from Area
128090,Moving from Area
128084,Moving from Area
128072,Moving from Area
128054,Moving from Area
128030,Moving from Area
128016,Moving from Area
127978,Moving from Area
127974,Moving from Area
127936,Moving from Area
127884,Moving from Area
127816,Moving from Area
127790,Moving from Area
127786,Moving from Area
127780,Moving from Area
127778,Moving from Area
127774,Moving from Area
127770,Moving from Area
127760,Moving from Area
127734,Moving from Area
127720,Moving from Area
127718,Moving from Area
127696,Moving from Area
127690,Moving from Area
127660,Moving from Area
127632,Moving from Area
